UserId,UserName,Followers,TotalTweets,TotalLikes,AverageLikes,MeanLikes,TotalReplies,AverageReplies,MeanReplies,TotalRetweets,AverageRetweets,MeanRetweets,LogFollowers,LogRetweets,PopularityCluster
20066934,Ö1 Journale,31135,1,3,3.0,3.0,0,0.0,0.0,0,0.0,0.0,10.35,0.0,8
15872055,Merkur.de,31033,4,8,2.5,2.0,1,0.0,0.25,9,2.0,2.25,10.34,2.3,8
71315958,Annette,30952,1,39,39.0,39.0,0,0.0,0.0,21,21.0,21.0,10.34,3.09,8
22401662,sächsische.de,30785,2,1,0.5,0.5,0,0.0,0.0,1,0.5,0.5,10.33,0.69,8
1419802568096616454,Trump4America,29773,1,0,0.0,0.0,1,1.0,1.0,0,0.0,0.0,10.3,0.0,8
19401778,PULS 24,29597,2,15,7.5,7.5,0,0.0,0.0,4,2.0,2.0,10.3,1.61,8
3142893305,HoGeSatzbau,28380,1,70,70.0,70.0,0,0.0,0.0,6,6.0,6.0,10.25,1.95,8
1212669223,Julia Ortner,28004,1,113,113.0,113.0,0,0.0,0.0,15,15.0,15.0,10.24,2.77,8
17775446,LN_Online,27150,1,2,2.0,2.0,0,0.0,0.0,0,0.0,0.0,10.21,0.0,8
120087248,Olivera Staji?,26872,1,0,0.0,0.0,1,1.0,1.0,20,20.0,20.0,10.2,3.04,8
1709830957,Stefan Kappacher,26614,1,91,91.0,91.0,0,0.0,0.0,7,7.0,7.0,10.19,2.08,8
805552999,SandyC@45_2020??,26418,1,0,0.0,0.0,1,1.0,1.0,0,0.0,0.0,10.18,0.0,8
1239933725699452928,???A Canadian ?? in Germany ?? ?? ?,26061,1,0,0.0,0.0,1,1.0,1.0,1,1.0,1.0,10.17,0.69,8
2398480578,Ingmar??Stadelmann,25869,1,103,103.0,103.0,0,0.0,0.0,3,3.0,3.0,10.16,1.39,8
